acmi_id,acmi_name,wikidata_id,wikidata_name,acmi_title,wikidata_title,match
66965,ONF | NFB,Q22639250,RON FABER,INSECT LAB,THE TREE OF GUERNICA,27
66965,ONF | NFB,Q22639250,RON FABER,TORONTO SYMPHONY NO. 1,THE TREE OF GUERNICA,34
66965,ONF | NFB,Q22639250,RON FABER,THE BROTHERS BYRNE,THE TREE OF GUERNICA,47
66965,ONF | NFB,Q22639250,RON FABER,MYSTERY IN THE KITCHEN,THE TREE OF GUERNICA,43
66965,ONF | NFB,Q22639250,RON FABER,LA QUEBECOISE,THE TREE OF GUERNICA,30
66965,ONF | NFB,Q22639250,RON FABER,V FOR VOLUNTEERS,THE TREE OF GUERNICA,33
66965,ONF | NFB,Q22639250,RON FABER,DRINKING,THE TREE OF GUERNICA,21
66965,ONF | NFB,Q22639250,RON FABER,SMOKE AND WEATHER,THE TREE OF GUERNICA,43
66965,ONF | NFB,Q22639250,RON FABER,SUNRISE OVER TIANANMEN SQUARE,THE TREE OF GUERNICA,33
66965,ONF | NFB,Q22639250,RON FABER,TATTOO 67,THE TREE OF GUERNICA,21
66965,ONF | NFB,Q22639250,RON FABER,THAT'S THE PRICE,THE TREE OF GUERNICA,56
66965,ONF | NFB,Q22639250,RON FABER,"PRIORY, THE ONLY HOME I'VE GOT",THE TREE OF GUERNICA,45
66965,ONF | NFB,Q22639250,RON FABER,A MATTER OF FAT,THE TREE OF GUERNICA,40
66965,ONF | NFB,Q22639250,RON FABER,DUES AND THE UNION,THE TREE OF GUERNICA,37
66965,ONF | NFB,Q22639250,RON FABER,JUDOKA,THE TREE OF GUERNICA,15
66965,ONF | NFB,Q22639250,RON FABER,CAPTIVE MINDS: HYPNOSIS AND BEYOND,THE TREE OF GUERNICA,26
66965,ONF | NFB,Q22639250,RON FABER,THE EDGE OF THE BARRENS,THE TREE OF GUERNICA,56
66965,ONF | NFB,Q22639250,RON FABER,THE HERD,THE TREE OF GUERNICA,43
66965,ONF | NFB,Q22639250,RON FABER,DRYLANDERS,THE TREE OF GUERNICA,27
66965,ONF | NFB,Q22639250,RON FABER,A SCREAM FROM SILENCE,THE TREE OF GUERNICA,39
66965,ONF | NFB,Q22639250,RON FABER,SCHEFFERVILLE 4TH ARCTIC WINTER GAMES,THE TREE OF GUERNICA,35
66965,ONF | NFB,Q22639250,RON FABER,WOMEN WANT...,THE TREE OF GUERNICA,27
66965,ONF | NFB,Q22639250,RON FABER,LAILA,THE TREE OF GUERNICA,16
66965,ONF | NFB,Q22639250,RON FABER,DOWNHILL,THE TREE OF GUERNICA,14
66965,ONF | NFB,Q22639250,RON FABER,SALMON PEOPLE,THE TREE OF GUERNICA,24
66965,ONF | NFB,Q22639250,RON FABER,ONCE UPON A HUNT [DUBBED],THE TREE OF GUERNICA,33
66965,ONF | NFB,Q22639250,RON FABER,EXPLORATIONS: WRESTLING,THE TREE OF GUERNICA,33
66965,ONF | NFB,Q22639250,RON FABER,ACTION: THE OCTOBER CRISIS OF 1970,THE TREE OF GUERNICA,38
66965,ONF | NFB,Q22639250,RON FABER,SATORI IN THE RIGHT CORTEX,THE TREE OF GUERNICA,39
66965,ONF | NFB,Q22639250,RON FABER,THE RED KITE,THE TREE OF GUERNICA,44
66965,ONF | NFB,Q22639250,RON FABER,ROSE'S HOUSE,THE TREE OF GUERNICA,38
66965,ONF | NFB,Q22639250,RON FABER,LE BLEU PERDU,THE TREE OF GUERNICA,30
66965,ONF | NFB,Q22639250,RON FABER,NOTES ON NUCLEAR WAR,THE TREE OF GUERNICA,40
66965,ONF | NFB,Q22639250,RON FABER,HUBERT REEVES: STAR TELLER [WIDESCREEN],THE TREE OF GUERNICA,39
66965,ONF | NFB,Q22639250,RON FABER,A DAY IN THE NIGHT OF JONATHAN MOLE,THE TREE OF GUERNICA,36
66965,ONF | NFB,Q22639250,RON FABER,EXETER,THE TREE OF GUERNICA,31
66965,ONF | NFB,Q22639250,RON FABER,STARLIFE,THE TREE OF GUERNICA,29
66965,ONF | NFB,Q22639250,RON FABER,WHY ROCK THE BOAT?,THE TREE OF GUERNICA,43
66965,ONF | NFB,Q22639250,RON FABER,PAPER WHEAT,THE TREE OF GUERNICA,39
66965,ONF | NFB,Q22639250,RON FABER,THE MAN WHO CAN'T STOP,THE TREE OF GUERNICA,43
66965,ONF | NFB,Q22639250,RON FABER,THINGUMAJIGS,THE TREE OF GUERNICA,19
66965,ONF | NFB,Q22639250,RON FABER,ENEMY ALIEN,THE TREE OF GUERNICA,32
66965,ONF | NFB,Q22639250,RON FABER,HIGH GRASS CIRCUS,THE TREE OF GUERNICA,27
66965,ONF | NFB,Q22639250,RON FABER,PROPAGANDA MESSAGE,THE TREE OF GUERNICA,26
66965,ONF | NFB,Q22639250,RON FABER,ACCIDENTS DON'T HAPPEN. CH. 5: SAFE CLOTHING,THE TREE OF GUERNICA,33
66965,ONF | NFB,Q22639250,RON FABER,HE ACTS HIS AGE [B&W],THE TREE OF GUERNICA,36
66965,ONF | NFB,Q22639250,RON FABER,COMET,THE TREE OF GUERNICA,32
66965,ONF | NFB,Q22639250,RON FABER,STREET TO THE WORLD,THE TREE OF GUERNICA,41
66965,ONF | NFB,Q22639250,RON FABER,THREADS,THE TREE OF GUERNICA,30
66965,ONF | NFB,Q22639250,RON FABER,THE TERRIBLE TWOS AND THE TRUSTING THREES [COLOUR VERSION],THE TREE OF GUERNICA,37
66965,ONF | NFB,Q22639250,RON FABER,TOMORROW WINTER COMES,THE TREE OF GUERNICA,34
66965,ONF | NFB,Q22639250,RON FABER,BING BANG BOOM,THE TREE OF GUERNICA,24
66965,ONF | NFB,Q22639250,RON FABER,LET'S ALL SING TOGETHER. NO. 1,THE TREE OF GUERNICA,38
66965,ONF | NFB,Q22639250,RON FABER,FOOD,THE TREE OF GUERNICA,8
66965,ONF | NFB,Q22639250,RON FABER,A TREE IS A LIVING THING,THE TREE OF GUERNICA,45
66965,ONF | NFB,Q22639250,RON FABER,BREAKDOWN,THE TREE OF GUERNICA,21
66965,ONF | NFB,Q22639250,RON FABER,I.L.O. (INTERNATIONAL LABOUR ORGANIZATION),THE TREE OF GUERNICA,34
66965,ONF | NFB,Q22639250,RON FABER,LOUISE DROUIN: VETERINARIAN,THE TREE OF GUERNICA,35
66965,ONF | NFB,Q22639250,RON FABER,HORS D'OEUVRE,THE TREE OF GUERNICA,36
66965,ONF | NFB,Q22639250,RON FABER,CYCLING: STILL THE GREATEST,THE TREE OF GUERNICA,35
66965,ONF | NFB,Q22639250,RON FABER,THE SOUND COLLECTOR,THE TREE OF GUERNICA,41
66965,ONF | NFB,Q22639250,RON FABER,AU HASARD DU TEMPS,THE TREE OF GUERNICA,37
66965,ONF | NFB,Q22639250,RON FABER,RECTANGLE & RECTANGLES & RECTANGLE,THE TREE OF GUERNICA,40
66965,ONF | NFB,Q22639250,RON FABER,SUNFLOWERS,THE TREE OF GUERNICA,33
66965,ONF | NFB,Q22639250,RON FABER,THE STREET,THE TREE OF GUERNICA,33
66965,ONF | NFB,Q22639250,RON FABER,BILL LOOSLEY'S HEAT PUMP,THE TREE OF GUERNICA,27
66965,ONF | NFB,Q22639250,RON FABER,THE SUMMER WE MOVED TO ELM STREET,THE TREE OF GUERNICA,38
66965,ONF | NFB,Q22639250,RON FABER,MAPS WE LIVE BY,THE TREE OF GUERNICA,23
66965,ONF | NFB,Q22639250,RON FABER,A TRIP DOWN MEMORY LANE,THE TREE OF GUERNICA,37
66965,ONF | NFB,Q22639250,RON FABER,VALLEY OF THE MOON,THE TREE OF GUERNICA,53
66965,ONF | NFB,Q22639250,RON FABER,STREET MUSIQUE,THE TREE OF GUERNICA,47
66965,ONF | NFB,Q22639250,RON FABER,SHATTERED DREAMS,THE TREE OF GUERNICA,39
66965,ONF | NFB,Q22639250,RON FABER,THIS IS AN EMERGENCY,THE TREE OF GUERNICA,40
66965,ONF | NFB,Q22639250,RON FABER,CELTIC SPIRITS,THE TREE OF GUERNICA,29
66965,ONF | NFB,Q22639250,RON FABER,BOOGIE DOODLE,THE TREE OF GUERNICA,30
66965,ONF | NFB,Q22639250,RON FABER,[NATIONAL FILM BOARD: 40TH ANNIVERSARY],THE TREE OF GUERNICA,29
66965,ONF | NFB,Q22639250,RON FABER,GODDESS REMEMBERED,THE TREE OF GUERNICA,37
66965,ONF | NFB,Q22639250,RON FABER,THE OWL AND THE LEMMING: AN ESKIMO LEGEND (K),THE TREE OF GUERNICA,42
66965,ONF | NFB,Q22639250,RON FABER,WHERE THERE'S SMOKE,THE TREE OF GUERNICA,46
66965,ONF | NFB,Q22639250,RON FABER,LA-BAS SEUR CES MONTAGNES. TROIS CANARDS.,THE TREE OF GUERNICA,34
66965,ONF | NFB,Q22639250,RON FABER,THE SWEATER,THE TREE OF GUERNICA,45
66965,ONF | NFB,Q22639250,RON FABER,WHERE DID YOU SLEEP LAST NIGHT?,THE TREE OF GUERNICA,32
66965,ONF | NFB,Q22639250,RON FABER,TO KNOW THE HURONS,THE TREE OF GUERNICA,58
66965,ONF | NFB,Q22639250,RON FABER,AT THE WINTER SEA ICE CAMP. PT. 2,THE TREE OF GUERNICA,39
66965,ONF | NFB,Q22639250,RON FABER,BETWEEN TWO WARS: TWILIGHT OF AN ERA (1934-1939),THE TREE OF GUERNICA,37
66965,ONF | NFB,Q22639250,RON FABER,SASKATCHEWAN 45 BELOW,THE TREE OF GUERNICA,29
66965,ONF | NFB,Q22639250,RON FABER,ONE OF MANY: DR NHAN,THE TREE OF GUERNICA,41
66965,ONF | NFB,Q22639250,RON FABER,K.C.I.: BEYOND THE THREE R'S,THE TREE OF GUERNICA,57
66965,ONF | NFB,Q22639250,RON FABER,THE NEW BABY,THE TREE OF GUERNICA,38
66965,ONF | NFB,Q22639250,RON FABER,WHEN THE DAY BREAKS,THE TREE OF GUERNICA,46
66965,ONF | NFB,Q22639250,RON FABER,COLD-RODDERS,THE TREE OF GUERNICA,31
66965,ONF | NFB,Q22639250,RON FABER,ALL ABOUT KIDS,THE TREE OF GUERNICA,24
66965,ONF | NFB,Q22639250,RON FABER,THE GRIEVANCE,THE TREE OF GUERNICA,48
66965,ONF | NFB,Q22639250,RON FABER,PEN POINT PERCUSSION: AN INTRODUCTION TO HAND-DRAWN SOUND OF NORMAN MCLAREN,THE TREE OF GUERNICA,26
66965,ONF | NFB,Q22639250,RON FABER,THE DECISION,THE TREE OF GUERNICA,44
66965,ONF | NFB,Q22639250,RON FABER,THE BRIGHT LAND,THE TREE OF GUERNICA,40
66965,ONF | NFB,Q22639250,RON FABER,TALESPINNERS,THE TREE OF GUERNICA,25
66965,ONF | NFB,Q22639250,RON FABER,NORTHWEST PASSAGE,THE TREE OF GUERNICA,38
66965,ONF | NFB,Q22639250,RON FABER,SPEAKING OUR PEACE,THE TREE OF GUERNICA,32
66965,ONF | NFB,Q22639250,RON FABER,THE CANADIAN SHIELD: SAGUENAY REGION,THE TREE OF GUERNICA,40
66965,ONF | NFB,Q22639250,RON FABER,"YESTERDAY, TODAY: THE NETSILIK ESKIMO",THE TREE OF GUERNICA,40
66965,ONF | NFB,Q22639250,RON FABER,KEEP YOUR MOUTH SHUT,THE TREE OF GUERNICA,40
66965,ONF | NFB,Q22639250,RON FABER,OF HOPSCOTCH AND LITTLE GIRLS,THE TREE OF GUERNICA,37
66965,ONF | NFB,Q22639250,RON FABER,THE PERFECT HERO,THE TREE OF GUERNICA,44
66965,ONF | NFB,Q22639250,RON FABER,"JELLY-LIKE, WORM-LIKE AND COLONIAL INVERTEBRATES",THE TREE OF GUERNICA,27
66965,ONF | NFB,Q22639250,RON FABER,LET'S ALL SING TOGETHER. NO. 4,THE TREE OF GUERNICA,38
66965,ONF | NFB,Q22639250,RON FABER,STRIKER,THE TREE OF GUERNICA,30
66965,ONF | NFB,Q22639250,RON FABER,MATHEMATICS AT YOUR FINGERTIPS,THE TREE OF GUERNICA,40
66965,ONF | NFB,Q22639250,RON FABER,STRANGERS AT THE DOOR,THE TREE OF GUERNICA,44
66965,ONF | NFB,Q22639250,RON FABER,FIDDLE-DE-DEE,THE TREE OF GUERNICA,30
66965,ONF | NFB,Q22639250,RON FABER,EACH MAN'S SON,THE TREE OF GUERNICA,29
66965,ONF | NFB,Q22639250,RON FABER,LANDFALL ASIA,THE TREE OF GUERNICA,24
66965,ONF | NFB,Q22639250,RON FABER,THE FIRST MILE UP,THE TREE OF GUERNICA,38
66965,ONF | NFB,Q22639250,RON FABER,HAVING YOUR SAY,THE TREE OF GUERNICA,29
66965,ONF | NFB,Q22639250,RON FABER,WHO IS SYLVIA?,THE TREE OF GUERNICA,24
66965,ONF | NFB,Q22639250,RON FABER,SOME PEOPLE HAVE TO SUFFER,THE TREE OF GUERNICA,30
66965,ONF | NFB,Q22639250,RON FABER,SEAWAY TO THE HEARTLAND,THE TREE OF GUERNICA,47
66965,ONF | NFB,Q22639250,RON FABER,ANTONIO,THE TREE OF GUERNICA,22
66965,ONF | NFB,Q22639250,RON FABER,AFTER MR. SAM,THE TREE OF GUERNICA,38
66965,ONF | NFB,Q22639250,RON FABER,LOOPS TO LEARN BY,THE TREE OF GUERNICA,38
66965,ONF | NFB,Q22639250,RON FABER,CHILDREN LEARN FROM FILMSTRIPS,THE TREE OF GUERNICA,32
66965,ONF | NFB,Q22639250,RON FABER,DEMON AND MARVELS,THE TREE OF GUERNICA,32
66965,ONF | NFB,Q22639250,RON FABER,ESPOLIO,THE TREE OF GUERNICA,22
66965,ONF | NFB,Q22639250,RON FABER,GANNETS OF BONAVENTURE ISLAND,THE TREE OF GUERNICA,33
66965,ONF | NFB,Q22639250,RON FABER,GREAT CLEAN-UP,THE TREE OF GUERNICA,29
66965,ONF | NFB,Q22639250,RON FABER,HANDS OF HISTORY,THE TREE OF GUERNICA,28
66965,ONF | NFB,Q22639250,RON FABER,THE WINDS OF FOGO,THE TREE OF GUERNICA,49
66965,ONF | NFB,Q22639250,RON FABER,INTRODUCING INSECTS,THE TREE OF GUERNICA,31
66965,ONF | NFB,Q22639250,RON FABER,DUEL-DUO,THE TREE OF GUERNICA,29
66965,ONF | NFB,Q22639250,RON FABER,POPULATION EXPLOSION,THE TREE OF GUERNICA,25
66965,ONF | NFB,Q22639250,RON FABER,THROUGH A BLUE LENS,THE TREE OF GUERNICA,36
66965,ONF | NFB,Q22639250,RON FABER,"FOR YOU, MR. BELL",THE TREE OF GUERNICA,29
66965,ONF | NFB,Q22639250,RON FABER,WHO WANTS UNIONS?,THE TREE OF GUERNICA,39
66965,ONF | NFB,Q22639250,RON FABER,HEN HOP,THE TREE OF GUERNICA,30
66965,ONF | NFB,Q22639250,RON FABER,CAROLINE,THE TREE OF GUERNICA,29
66965,ONF | NFB,Q22639250,RON FABER,HOG FAMILY 'SUPREME',THE TREE OF GUERNICA,37
66965,ONF | NFB,Q22639250,RON FABER,A FOREIGN LANGUAGE,THE TREE OF GUERNICA,32
66965,ONF | NFB,Q22639250,RON FABER,HAS ANYBODY HERE SEEN CANADA?,THE TREE OF GUERNICA,42
66965,ONF | NFB,Q22639250,RON FABER,STRUGGLE FOR OIL,THE TREE OF GUERNICA,39
66965,ONF | NFB,Q22639250,RON FABER,FRASER'S RIVER,THE TREE OF GUERNICA,35
66965,ONF | NFB,Q22639250,RON FABER,HENRY FORD'S AMERICA,THE TREE OF GUERNICA,55
66965,ONF | NFB,Q22639250,RON FABER,UNIVERSE,THE TREE OF GUERNICA,43
66965,ONF | NFB,Q22639250,RON FABER,A CHOICE OF TWO,THE TREE OF GUERNICA,40
66965,ONF | NFB,Q22639250,RON FABER,WESTRAY,THE TREE OF GUERNICA,22
66965,ONF | NFB,Q22639250,RON FABER,THE END OF SUMMER,THE TREE OF GUERNICA,54
66965,ONF | NFB,Q22639250,RON FABER,WHEN THE DUST SETTLES,THE TREE OF GUERNICA,39
66965,ONF | NFB,Q22639250,RON FABER,NATURE'S FOOD CHAIN,THE TREE OF GUERNICA,41
