acmi_id,acmi_name,wikidata_id,wikidata_name,acmi_title,wikidata_title,match
81824,ERIC MERTON,Q61741646,ALICE EYTON,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],THE THIRTEENTH COMMANDMENT,32
81824,ERIC MERTON,Q1352598,ERICH KOBER,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],SIN AND MORALITY,24
81824,ERIC MERTON,Q3173486,JEAN MERCANTON,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],LE CARREFOUR DES ENFANTS PERDUS,36
81824,ERIC MERTON,Q7167601,PERCY STRONG,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],THE MAID AT THE PALACE,38
81824,ERIC MERTON,Q18360289,EDGAR NORTON,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],THE HOUSE OF THE SEVEN GABLES,39
81824,ERIC MERTON,Q285928,LEWIS MILESTONE,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],THE STRANGE LOVE OF MARTHA IVERS,42
81824,ERIC MERTON,Q12025383,JIRI MYRON,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],TWO MOTHERS,19
81824,ERIC MERTON,Q1484391,HEINRICH MARLOW,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],DER ALTE UND DER JUNGE KONIG,37
81824,ERIC MERTON,Q16185792,ERICH WALTER,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],DE MAN OP DEN ACHTERGROND,34
81824,ERIC MERTON,Q103788,MERVYN LEROY,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],THE MAKING OF A LEGEND: GONE WITH THE WIND,42
