agent_id,agent_label,work_id,work_label
43384,Jack Anderson,114463,[John Anderson Home Movies: Reel 24]
84432,ABC,71204,Orbost v Orbost
37730,Harry Southwell,97577,The Kelly gang
12677,Arch Nicholson,74909,Working: Soviet style
22480,Bill Bennett,80259,The Banjo and the bard
12693,John B Murray,80773,Lonely Hearts
20692,Paul Cox,80773,Lonely Hearts
20892,John Duigan,92707,Sirens
22332,Sue Milliken,92707,Sirens
22480,Bill Bennett,95076,Tempted
82089,Kenneth Rankine,114418,[KenRa Films Present: the Kenneth Rankine Home Movie Collection: Reel 2]
11119,Phil Noyce,75327,Disco
43384,Jack Anderson,99994,[John Anderson Home Movies: Reel 34]
11277,Di Drew,79091,Banduk (Captioned)
13715,Michael Thornhill,80778,The Journalist
43384,Jack Anderson,117820,[John Anderson Home Movies: Reel 5]
30169,Mick Molloy,94287,Crackerjack
12064,Gil Brealey,87935,The Line
14064,A.P. Elkin,69810,Australian Aborigines: living off the land
8345,Emma-Kate Croghan,95153,Strange planet
10241,Rolf De Heer,107640,Clips from Ten Canoes
82089,Kenneth Rankine,114430,[KenRa Films Present: the Kenneth Rankine Home Movie Collection: Reel 15]
12984,Ken Cameron,73598,Temperament unsuited
9257,Tony Krawitz,92828,Together in the middle of nowhere
20017,Matt Carroll,81047,Money movers
12064,Gil Brealey,73830,Time and place
10977,Ray Argall,78612,Pop movie. Part 1
18809,Ron Taylor,98783,High jump and pole vault
17043,E.J. Carroll,71091,On our selection
17044,Raymond Longford,71091,On our selection
84432,ABC,65407,A Big hand for everyone
20018,Henri Safran,83815,Bush Christmas
11116,Chris Noonan,98510,Bulls
14079,Noel Monkman,98288,Catching crocodiles
84297,Tibor Koller,117808,[Tibor Zoltan Koller Home Movies: Reel 8]
74451,Anthony Buckley,67734,Forgotten Cinema
17648,James Ricketson,76579,Just like other kids: Ramona Marsh
82089,Kenneth Rankine,114442,[KenRa Films Present: the Kenneth Rankine Home Movie Collection: Reel 33]
11116,Chris Noonan,67030,Education?
19979,Mario Andreacchio,86575,Vaudeville
19863,Anne Deveson,82216,Not a bedroom war
12677,Arch Nicholson,71470,The People's music: Soviet style
20437,Dennis O'Rourke,77945,The Marshall Islands: Living with the bomb
23255,John Cornell,81018,Crocodile Dundee II
19966,Jane Scott,81018,Crocodile Dundee II
84296,Len Moncur,119214,[Len Moncur Home Movies: Reel 1]
17648,James Ricketson,76581,A Wall of Silence
12064,Gil Brealey,80084,Dusty (Captioned)
73923,Tom Daly,85725,Symbol boy
75800,Paul Goldman,94508,Australian rules (A) [DVD]
80838,Mark Lazarus,94508,Australian rules (A) [DVD]
30169,Mick Molloy,93689,Tackle happy (E)
14079,Noel Monkman,69123,Island of turtles
12217,Ivan Gaal,96624,Circus nomads
12797,Donald Crombie,81026,The Irishman
74451,Anthony Buckley,81026,The Irishman
12217,Ivan Gaal,81990,Bike ed in action; be seen to be safe.
23282,Terry Bourke,86457,Little boy lost
73470,Joel Edgerton,89145,Bloodlock [Widescreen]
20795,George Ogilvie,79275,The Place at the coast
12897,Frank L. Few,67582,Fishing
84432,ABC,67582,Fishing
7173,Paul Fenech,94530,Fat pizza
6571,Daniel Crooks,114191,Train No. 6
20498,Roger Scholes,77491,The Sealer
12323,R. Maslyn Williams,95763,City sailors
85144,Lou Bennett AM,118039,Jaara Nyilamum
11966,David Corke,67023,Edge of the deep
74166,John Armstrong,84904,Hinkler: the aviator
85169,GMV-6 Shepparton,119300,[Ned Kelly cummerbund interview]
12064,Gil Brealey,73351,Suggest a better way
12798,Oliver Howes,73351,Suggest a better way
79598,Simon Target,91603,"No pain, no mess"
31350,Mark Waters,89415,The Gary Crew video
15982,Ralph Smart,69124,Island target
20796,Carl Schultz,84777,Goodbye paradise (AFC)
19966,Jane Scott,84777,Goodbye paradise (AFC)
12984,Ken Cameron,81455,Brides of Christ (Captioned)
11966,David Corke,86692,The Burke and Wills Expedition 1860-1861 (MAC & PC)
20692,Paul Cox,84337,Calcutta
21203,Ben Lewin,79638,Lottie Lyell
10977,Ray Argall,77171,Staying number one: The Swingers
